X-axis,Y-axis
0.0,0.0
2.0,2.486898871648548
4.0,4.817536741017153
6.0,6.845471059286887
8.0,8.443279255020151
10.0,9.510565162951535
12.0,9.980267284282716
14.0,9.822872507286887
16.0,9.048270524660195
18.0,7.705132427757892
20.0,5.877852522924733
22.0,3.6812455268467774
24.0,1.2533323356430408
26.0,-1.2533323356430428
28.0,-3.681245526846783
30.0,-5.877852522924734
32.0,-7.705132427757894
34.0,-9.048270524660198
36.0,-9.822872507286887
38.0,-9.980267284282716
40.0,-9.510565162951536
42.0,-8.44327925502015
44.0,-6.845471059286883
46.0,-4.817536741017153
48.0,-2.486898871648545
50.0,6.432490598706546e-15
52.0,2.486898871648549
54.0,4.817536741017157
56.0,6.845471059286893
58.0,8.443279255020151
60.0,9.510565162951538
62.0,9.980267284282716
64.0,9.822872507286887
66.0,9.048270524660193
68.0,7.705132427757886
70.0,5.877852522924734
72.0,3.6812455268467796
74.0,1.253332335643039
76.0,-1.2533323356430492
78.0,-3.681245526846789
80.0,-5.877852522924728
82.0,-7.705132427757892
84.0,-9.048270524660197
86.0,-9.822872507286888
88.0,-9.980267284282714
90.0,-9.510565162951533
92.0,-8.443279255020151
94.0,-6.845471059286885
96.0,-4.817536741017148
98.0,-2.4868988716485387
100.0,1.2864981197413092e-14
102.0,2.4868988716485467
104.0,4.817536741017154
106.0,6.845471059286891
108.0,8.443279255020155
110.0,9.51056516295154
112.0,9.980267284282716
114.0,9.822872507286887
116.0,9.048270524660193
118.0,7.705132427757887
120.0,5.877852522924721
122.0,3.6812455268467654
124.0,1.2533323356430415
126.0,-1.253332335643047
128.0,-3.681245526846787
130.0,-5.877852522924726
132.0,-7.705132427757901
134.0,-9.048270524660197
136.0,-9.82287250728689
138.0,-9.980267284282716
140.0,-9.510565162951538
142.0,-8.443279255020142
144.0,-6.845471059286886
146.0,-4.817536741017134
148.0,-2.486898871648541
150.0,-7.347880794884118e-15
152.0,2.4868988716485614
154.0,4.817536741017152
156.0,6.8454710592869015
158.0,8.443279255020155
160.0,9.510565162951533
162.0,9.980267284282716
164.0,9.822872507286887
166.0,9.048270524660186
168.0,7.7051324277578885
170.0,5.877852522924709
172.0,3.6812455268467676
174.0,1.253332335643044
176.0,-1.2533323356430621
178.0,-3.6812455268467845
180.0,-5.877852522924752
182.0,-7.7051324277579
184.0,-9.048270524660195
186.0,-9.82287250728689
188.0,-9.980267284282716
190.0,-9.510565162951528
192.0,-8.443279255020144
194.0,-6.845471059286888
196.0,-4.817536741017136
198.0,-2.4868988716485436
200.0,2.5729962394826185e-14
202.0,2.486898871648559
204.0,4.81753674101715
206.0,6.845471059286901
208.0,8.443279255020153
210.0,9.510565162951544
212.0,9.980267284282716
214.0,9.822872507286887
216.0,9.048270524660188
218.0,7.70513242775789
220.0,5.877852522924711
222.0,3.68124552684677
224.0,1.253332335643011
226.0,-1.25333233564306
228.0,-3.6812455268467827
230.0,-5.877852522924751
232.0,-7.705132427757899
234.0,-9.048270524660209
236.0,-9.82287250728689
238.0,-9.980267284282716
240.0,-9.51056516295153
242.0,-8.443279255020146
244.0,-6.845471059286864
246.0,-4.817536741017138
248.0,-2.486898871648546
250.0,2.328066879653148e-14
252.0,2.4868988716485565
254.0,4.81753674101718
256.0,6.845471059286899
258.0,8.443279255020151
260.0,9.510565162951533
262.0,9.98026728428272
264.0,9.822872507286881
266.0,9.04827052466019
268.0,7.705132427757891
270.0,5.8778525229247425
272.0,3.6812455268467392
274.0,1.2533323356430135
276.0,-1.2533323356430572
278.0,-3.68124552684678
280.0,-5.87785252292472
282.0,-7.7051324277579205
284.0,-9.048270524660207
286.0,-9.82287250728689
288.0,-9.980267284282716
290.0,-9.51056516295154
292.0,-8.443279255020128
294.0,-6.845471059286866
296.0,-4.817536741017141
298.0,-2.486898871648548
300.0,-1.4695761589768237e-14
302.0,2.486898871648589
304.0,4.817536741017177
306.0,6.845471059286896
308.0,8.443279255020151
310.0,9.510565162951531
312.0,9.980267284282718
314.0,9.822872507286881
316.0,9.04827052466019
318.0,7.705132427757894
320.0,5.877852522924743
322.0,3.6812455268467414
324.0,1.253332335643016
326.0,-1.2533323356430548
328.0,-3.6812455268467783
330.0,-5.877852522924776
332.0,-7.705132427757918
334.0,-9.048270524660207
336.0,-9.82287250728689
338.0,-9.980267284282716
340.0,-9.510565162951519
342.0,-8.44327925502013
344.0,-6.845471059286869
346.0,-4.817536741017142
348.0,-2.4868988716485507
350.0,5.390921838794707e-14
352.0,2.4868988716485863
354.0,4.817536741017175
356.0,6.845471059286895
358.0,8.443279255020148
360.0,9.510565162951552
362.0,9.980267284282718
364.0,9.822872507286881
366.0,9.048270524660191
368.0,7.705132427757895
370.0,5.877852522924688
372.0,3.6812455268467437
374.0,1.2533323356430184
376.0,-1.2533323356430524
378.0,-3.6812455268467756
380.0,-5.877852522924774
382.0,-7.705132427757917
384.0,-9.048270524660206
386.0,-9.822872507286888
388.0,-9.980267284282716
390.0,-9.51056516295152
392.0,-8.44327925502013
394.0,-6.8454710592868695
396.0,-4.817536741017145
398.0,-2.486898871648553
